closure_id,trace_id,requirement_id,gap_dimension,current_state,closure_route,accountable_role,prerequisite,planned_evidence,status,notes
CLOSE-SFA-CORE-ID-001-VERIFICATION,TRACE-SFA-CORE-ID-001,SFA-CORE-ID-001,verification,planned,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-001-CAPABILITY,TRACE-SFA-CORE-ID-001,SFA-CORE-ID-001,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-001-SEMANTIC-REVIEW,TRACE-SFA-CORE-ID-001,SFA-CORE-ID-001,semantic_review,needs_evidence,locally_executable_evidence,verification_engineer,current_local_implementation_and_test_evidence,exact_non_generated_artifact_and_executed_validation_or_review,planned,TX-23 classifies only; execute evidence in a separately authorized packet.
CLOSE-SFA-CORE-ID-002-VERIFICATION,TRACE-SFA-CORE-ID-002,SFA-CORE-ID-002,verification,planned,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-002-CAPABILITY,TRACE-SFA-CORE-ID-002,SFA-CORE-ID-002,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-002-SEMANTIC-REVIEW,TRACE-SFA-CORE-ID-002,SFA-CORE-ID-002,semantic_review,needs_evidence,locally_executable_evidence,verification_engineer,current_local_implementation_and_test_evidence,exact_non_generated_artifact_and_executed_validation_or_review,planned,TX-23 classifies only; execute evidence in a separately authorized packet.
CLOSE-SFA-CORE-ID-003-VERIFICATION,TRACE-SFA-CORE-ID-003,SFA-CORE-ID-003,verification,planned,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-003-CAPABILITY,TRACE-SFA-CORE-ID-003,SFA-CORE-ID-003,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-003-SEMANTIC-REVIEW,TRACE-SFA-CORE-ID-003,SFA-CORE-ID-003,semantic_review,needs_evidence,locally_executable_evidence,verification_engineer,current_local_implementation_and_test_evidence,exact_non_generated_artifact_and_executed_validation_or_review,planned,TX-23 classifies only; execute evidence in a separately authorized packet.
CLOSE-SFA-CORE-ID-004-CAPABILITY,TRACE-SFA-CORE-ID-004,SFA-CORE-ID-004,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-004-COVERAGE,TRACE-SFA-CORE-ID-004,SFA-CORE-ID-004,coverage,partial,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-005-CAPABILITY,TRACE-SFA-CORE-ID-005,SFA-CORE-ID-005,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-005-COVERAGE,TRACE-SFA-CORE-ID-005,SFA-CORE-ID-005,coverage,partial,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-006-CAPABILITY,TRACE-SFA-CORE-ID-006,SFA-CORE-ID-006,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-006-COVERAGE,TRACE-SFA-CORE-ID-006,SFA-CORE-ID-006,coverage,partial,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-007-CAPABILITY,TRACE-SFA-CORE-ID-007,SFA-CORE-ID-007,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-ID-007-COVERAGE,TRACE-SFA-CORE-ID-007,SFA-CORE-ID-007,coverage,partial,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-VISION-001-VERIFICATION,TRACE-SFA-CORE-VISION-001,SFA-CORE-VISION-001,verification,planned,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-VISION-001-CAPABILITY,TRACE-SFA-CORE-VISION-001,SFA-CORE-VISION-001,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-VISION-001-COVERAGE,TRACE-SFA-CORE-VISION-001,SFA-CORE-VISION-001,coverage,partial,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-VISION-002-VERIFICATION,TRACE-SFA-CORE-VISION-002,SFA-CORE-VISION-002,verification,planned,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-VISION-002-CAPABILITY,TRACE-SFA-CORE-VISION-002,SFA-CORE-VISION-002,capability,scaffolded,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
CLOSE-SFA-CORE-VISION-002-COVERAGE,TRACE-SFA-CORE-VISION-002,SFA-CORE-VISION-002,coverage,partial,plan_supersession_candidate,system_director,accountable_G_10_scope_and_plan_decision,approved_plan_supersession_or_explicit_retention_as_future_framework_work,planned,"Current state remains truthful; do not bulk-promote, waive, or treat it as migration completion."
