disposition_id,closure_id,trace_id,requirement_id,gap_dimension,retained_trace_state,plan_interpretation,g10_migration_effect,requirement_lifecycle_effect,trace_mutation,waiver_id,decision_id,execution_transaction_id,evidence_report_path,reviewer_role,review_date,status,notes
DISP-SFA-CORE-ID-001-VERIFICATION,CLOSE-SFA-CORE-ID-001-VERIFICATION,TRACE-SFA-CORE-ID-001,SFA-CORE-ID-001,verification,planned,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-001-CAPABILITY,CLOSE-SFA-CORE-ID-001-CAPABILITY,TRACE-SFA-CORE-ID-001,SFA-CORE-ID-001,capability,scaffolded,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-002-VERIFICATION,CLOSE-SFA-CORE-ID-002-VERIFICATION,TRACE-SFA-CORE-ID-002,SFA-CORE-ID-002,verification,planned,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-002-CAPABILITY,CLOSE-SFA-CORE-ID-002-CAPABILITY,TRACE-SFA-CORE-ID-002,SFA-CORE-ID-002,capability,scaffolded,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-003-VERIFICATION,CLOSE-SFA-CORE-ID-003-VERIFICATION,TRACE-SFA-CORE-ID-003,SFA-CORE-ID-003,verification,planned,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-003-CAPABILITY,CLOSE-SFA-CORE-ID-003-CAPABILITY,TRACE-SFA-CORE-ID-003,SFA-CORE-ID-003,capability,scaffolded,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-004-CAPABILITY,CLOSE-SFA-CORE-ID-004-CAPABILITY,TRACE-SFA-CORE-ID-004,SFA-CORE-ID-004,capability,scaffolded,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-004-COVERAGE,CLOSE-SFA-CORE-ID-004-COVERAGE,TRACE-SFA-CORE-ID-004,SFA-CORE-ID-004,coverage,partial,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-005-CAPABILITY,CLOSE-SFA-CORE-ID-005-CAPABILITY,TRACE-SFA-CORE-ID-005,SFA-CORE-ID-005,capability,scaffolded,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-005-COVERAGE,CLOSE-SFA-CORE-ID-005-COVERAGE,TRACE-SFA-CORE-ID-005,SFA-CORE-ID-005,coverage,partial,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-006-CAPABILITY,CLOSE-SFA-CORE-ID-006-CAPABILITY,TRACE-SFA-CORE-ID-006,SFA-CORE-ID-006,capability,scaffolded,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
DISP-SFA-CORE-ID-006-COVERAGE,CLOSE-SFA-CORE-ID-006-COVERAGE,TRACE-SFA-CORE-ID-006,SFA-CORE-ID-006,coverage,partial,explicit_future_framework_work,not_a_strategic_baseline_migration_blocker,remains_active_required,none,none,DDR-SFADEV-STRATEGIC-BASELINE-G11-002,TX-25-PLAN-INTERPRETATION,implementation_plans/acceptance_reports/STRATEGIC-BASELINE-MIGRATION-PLAN-INTERPRETATION-SFADEV-TX25.md,system_director,2026-07-11,accepted,"Retain truthful full-framework maturity state as future work; do not promote, waive, close, or use it as a G-10 migration blocker."
