prd_module_id,path,title,status,subject_layer,authority_scope,owns_requirement_prefixes,references_source_prds,supersedes,source_authority_status,owner_role,validation_status,source_hash,last_validated_at,notes
PRD-MOD-INIT-DISCOVERY,PRDs/modules/Sys4AI_init_and_discovery_prd.md,Sys4AI Init and Discovery PRD,planned,framework_product,init_discovery,SFA-CORE-DISCOVERY;SFA-CORE-INIT;SFA-P1-INIT-DISC;SFA-P1-INIT-FRONTDOOR,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-AGENTJOB-CONTINUE,PRDs/modules/Sys4AI_agentjob_and_continue_prd.md,Sys4AI AgentJob and Continue PRD,planned,framework_product,agentjob_continue,SFA-CORE-AJ;SFA-CORE-CONT;SFA-P1-INIT-YAML;SFA-P1-INIT-VAL,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-SOURCE-FIRST-MEMORY,PRDs/modules/Sys4AI_source_first_memory_prd.md,Sys4AI Source-First Memory PRD,planned,framework_product,source_first_memory,SFA-CORE-MEM;SFA-CORE-DOC;SFA-P1-INIT-MEM,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-SYSTEM-LAYERS-SELF-HOSTING,PRDs/modules/Sys4AI_system_layers_and_self_hosting_prd.md,Sys4AI System Layers and Self-Hosting PRD,planned,framework_product,system_layers_self_hosting,SFA-CORE-ID;SFA-P1-INIT-CONFIG;SFA-P1-INIT-REPO,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-ROLE-GOVERNANCE,PRDs/modules/Sys4AI_role_governance_prd.md,Sys4AI Role Governance PRD,planned,framework_product,role_governance,SFA-CORE-ROLE;SFA-P1-INIT-ROLE,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-SKILL-LIFECYCLE,PRDs/modules/Sys4AI_skill_lifecycle_prd.md,Sys4AI Skill Lifecycle PRD,planned,framework_product,skill_lifecycle,SFA-CORE-SKILL;SFA-P1-INIT-SKILL,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-VALIDATION-TRACEABILITY,PRDs/modules/Sys4AI_validation_and_traceability_prd.md,Sys4AI Validation and Traceability PRD,planned,framework_product,validation_traceability,SFA-CORE-TRACE;SFA-P1-INIT-TRACE;SFA-P2-WS-TRACE;SFA-P2-WS-VAL,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-TARGET-SYSTEM-GENERATION,PRDs/modules/Sys4AI_target_system_generation_prd.md,Sys4AI Target-System Generation PRD,planned,framework_product,target_system_generation,SFA-P2-WS-PACKAGE;SFA-P2-WS-FLOW,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-OPERATIONS-MAINTENANCE,PRDs/modules/Sys4AI_operations_improvement_maintenance_prd.md,Sys4AI Operations Improvement and Maintenance PRD,planned,framework_product,operations_improvement_maintenance,SFA-CORE-LIFE;SFA-P0-NFR,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
PRD-MOD-INTERFACE-INTEGRATION,PRDs/modules/Sys4AI_interface_and_integration_prd.md,Sys4AI Interface and Integration PRD,planned,framework_product,interface_integration,SFA-CORE-SVC;SFA-P0-FR-020;SFA-P0-FR-021,PRDs/Sys4AI_phase-0_product_system_design_prd.md;PRDs/Sys4AI_phase-1_implementation_initialization_prd.md;PRDs/Sys4AI_phase-2_walking_skeleton_prd.md,,derivative_draft,requirements_manager,planned,pending,2026-07-08T22:26:00Z,Planned module path for AJ24 draft generation.
